href,latitude,longitude,suburb
/wiki/Landsat_7,,,Landsat 7
/wiki/False-color,,,false-color
/wiki/Royal_National_Park,,,Royal National Park
/wiki/Ku-ring-gai_Chase_National_Park,,,Ku-ring-gai Chase National Park
/wiki/Blue_Mountains_National_Park,33°37′S,150°28′E,Blue Mountains National Park
/wiki/Suburbs_and_localities_(Australia),,,suburbs and localities
/wiki/Sydney,33°51′54″S,151°12′34″E,Sydney
/wiki/City_of_Penrith,33°45′S,150°42′E,City of Penrith
/wiki/Camden_Council_(New_South_Wales),34°03′S,150°42′E,Camden Council
/wiki/City_of_Campbelltown_(New_South_Wales),34°04′S,150°49′E,City of Campbelltown
/wiki/Sutherland_Shire,34°02′S,151°03′E,Sutherland Shire
"/wiki/Bankstown,_New_South_Wales",33°55′05″S,151°02′06″E,Bankstown
"/wiki/Bondi_Beach,_New_South_Wales",33°53′28″S,151°16′41″E,Bondi Beach
"/wiki/Chatswood,_New_South_Wales",33°48′03″S,151°10′47″E,Chatswood
"/wiki/Cronulla,_New_South_Wales",34°03′27″S,151°09′08″E,Cronulla
"/wiki/Liverpool,_New_South_Wales",33°55′15″S,150°55′23″E,Liverpool
"/wiki/Manly,_New_South_Wales",33°47′46″S,151°16′58″E,Manly
"/wiki/Milsons_Point,_New_South_Wales",33°50′52″S,151°12′43″E,Milsons Point
"/wiki/Mosman,_New_South_Wales",33°49′45″S,151°14′39″E,Mosman
"/wiki/Newtown,_New_South_Wales",33°53′49″S,151°10′45″E,Newtown
"/wiki/Parramatta,_New_South_Wales",33°48′54″S,151°00′4″E,Parramatta
"/wiki/The_Rocks,_New_South_Wales",33°51′35″S,151°12′32″E,The Rocks
"/wiki/Abbotsbury,_New_South_Wales",33°52′30″S,150°51′43″E,Abbotsbury
"/wiki/Abbotsford,_New_South_Wales",33°51′08″S,151°07′38″E,Abbotsford
"/wiki/Acacia_Gardens,_New_South_Wales",33°43′56″S,150°55′01″E,Acacia Gardens
"/wiki/Agnes_Banks,_New_South_Wales",33°36′55″S,150°42′58″E,Agnes Banks
"/wiki/Airds,_New_South_Wales",34°05′30″S,150°49′30″E,Airds
"/wiki/Alexandria,_New_South_Wales",33°54′06″S,151°12′00″E,Alexandria
"/wiki/Alfords_Point,_New_South_Wales",33°59′05″S,151°01′17″E,Alfords Point
"/wiki/Allambie_Heights,_New_South_Wales",,,Allambie Heights
"/wiki/Allawah,_New_South_Wales",33°58′30″S,151°07′00″E,Allawah
"/wiki/Ambarvale,_New_South_Wales",34°05′00″S,150°48′02″E,Ambarvale
"/wiki/Angus,_New_South_Wales",33°40′32″S,150°50′03″E,Angus
"/wiki/Annandale,_New_South_Wales",33°52′53″S,151°10′15″E,Annandale
"/wiki/Annangrove,_New_South_Wales",33°39′09″S,150°56′27″E,Annangrove
"/wiki/Arcadia,_New_South_Wales",33°37′27″S,151°02′40″E,Arcadia
"/wiki/Arncliffe,_New_South_Wales",33°56′00″S,151°09′00″E,Arncliffe
"/wiki/Arndell_Park,_New_South_Wales",33°47′24″S,150°52′33.6″E,Arndell Park
"/wiki/Artarmon,_New_South_Wales",33°48′32″S,151°10′59″E,Artarmon
"/wiki/Ashbury,_New_South_Wales",33°54′11″S,151°06′59″E,Ashbury
"/wiki/Ashcroft,_New_South_Wales",33°55′18″S,150°53′43″E,Ashcroft
"/wiki/Ashfield,_New_South_Wales",33°53′20″S,151°07′30″E,Ashfield
"/wiki/Asquith,_New_South_Wales",33°41′20″S,151°06′18″E,Asquith
"/wiki/Auburn,_New_South_Wales",33°51′56″S,151°01′25″E,Auburn
"/wiki/Austral,_New_South_Wales",33°55′52″S,150°47′37″E,Austral
"/wiki/Avalon_Beach,_New_South_Wales",33°38′01″S,151°19′57″E,Avalon Beach
"/wiki/Badgerys_Creek,_New_South_Wales",33°52′47″S,150°45′08″E,Badgerys Creek
"/wiki/Balgowlah,_New_South_Wales",33°47′47″S,151°15′31″E,Balgowlah
"/wiki/Balgowlah_Heights,_New_South_Wales",33°48′23″S,151°15′24″E,Balgowlah Heights
