suburb,lat,lon
Allawah,-33.970017999999996,151.114517
Arncliffe,-33.936592,151.146805
Artarmon,-33.808087,151.192733
Ashfield,-34.096505,150.77893899999998
Asquith,-33.687484000000005,151.108685
Auburn,-33.883928000000004,151.023796
Banksia,-33.945237,151.140161
Bankstown,-33.907416999999995,151.024581
Bardwell Park,-33.93207,151.125594
Beecroft,-33.749497999999996,151.064533
Belmore,-33.916035,151.0875
Berala,-33.871904,151.031033
Berowra,-33.623581,151.150117
Beverly Hills,-33.954218,151.07636399999998
Bexley North,-33.938306,151.11418600000002
Birrong,-33.89022,151.022398
Blacktown,-33.770184,150.908501
Bondi Junction,-33.893739000000004,151.262502
Burwood,-33.891556,151.10082
Cabramatta,-33.895070000000004,150.935889
Campbelltown,-34.067440999999995,150.812522
Campsie,-33.914373,151.103465
Canley Vale,-33.887291,150.943275
Canterbury,-33.910848,151.12114499999998
Caringbah,-34.046927000000004,151.123943
Carlton,-33.968523,151.124528
Carramar,-33.884558,150.961884
Casula,-33.94735,150.907753
Chatswood,-33.791988,151.1899
Cheltenham,-33.76169,151.079364
Chester Hill,-33.883157000000004,151.00118500000002
Clarendon,-33.614736,150.78198
Clyde,-33.832322,151.01941399999998
Como,-34.004186,151.068288
Concord West,-33.848040999999995,151.087326
Cronulla,-34.051972,151.153662
Croydon,-33.883163,151.114771
Denistone,-33.799440999999995,151.07959
Doonside,-33.765071,150.86928999999998
Dulwich Hill,-33.904689000000005,151.138774
East Hills,-33.963359000000004,150.986695
Richmond,-33.597753000000004,150.75288999999998
Eastwood,-33.789986,151.08091399999998
Edgecliff,-33.878586,151.235106
Emu Plains,-33.754096999999994,150.653269
Engadine,-34.065715999999995,151.01266299999997
Epping,-33.78417,151.116696
Erskineville,-33.902234,151.186192
Fairfield,-33.850457,150.961124
Glenfield,-33.971305,150.89451699999998
Gordon,-33.757349,151.155678
Granville,-33.859289000000004,150.94858200000002
Guildford,-33.850193,150.966745
Gymea,-34.033142,151.085421
Harris Park,-33.822427000000005,151.008961
Heathcote,-34.079112,151.00861899999998
Helensburgh,-34.190675,150.981985
Holsworthy,-33.950403,150.949972
Homebush,-33.859654,151.081847
Hornsby,-33.707684,151.09981200000001
Hurlstone Park,-33.909964,151.13224
Hurstville,-33.975869,151.08893899999998
Ingleburn,-33.960035,150.802088
Jannali,-34.017074,151.065081
Killara,-33.766376,151.162047
Kings Cross,-35.537721000000005,148.02101399999998
Kingsgrove,-33.935922999999995,151.100027
Kingswood,-31.165879999999998,150.91944099999998
Kirrawee,-34.033743,151.071196
Kogarah,-33.963107,151.133462
Lakemba,-33.920457,151.075921
